RBG_CYC_83755_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C5C5_0000_08_1 (269953 Points)
Time (s)	Current (mAh)
376738	40.38
377038	40.39
377338	40.38
377638	40.38
377938	40.38
378238	40.38
378538	40.39
378838	40.38
379138	40.38
379438	40.38
379738	40.38
380038	40.38
380338	40.38
380638	40.38
380938	40.38
381238	40.38
381538	40.39
381838	40.38
382138	40.38
382438	40.38
382738	40.38
383038	40.38
383338	40.38
383638	40.39
383938	40.38
384238	40.38
384538	40.38
384838	40.38
385138	40.39
385438	40.38
385738	40.38
386038	40.39
386338	40.38
386638	40.39
386938	40.38
387238	40.38
387538	40.38
387838	40.38
388138	40.38
388438	40.38
388738	40.38
389038	40.39
389338	40.38
389638	40.39
389938	40.38
390238	40.39
390538	40.38
390838	40.38
391138	40.39
391438	40.38
391738	40.39
392038	17.12
392267	10.09
392268	-40.38
392567	-40.39
392867	-40.39
393167	-40.38
393467	-40.39
393767	-40.38
394067	-40.38
394367	-40.38
394667	-40.38
394967	-40.39
395267	-40.39
395567	-40.38
395867	-40.38
396167	-40.38
396467	-40.39
396767	-40.38
397067	-40.38
397367	-40.39
397667	-40.38
397967	-40.38
398267	-40.39
398567	-40.38
398867	-40.38
399167	-40.38
399467	-40.38
399767	-40.38
400067	-40.38
400367	-40.39
400667	-40.38
400967	-40.39
401267	-40.38
401567	-40.39
401867	-40.39
402167	-40.39
402467	-40.38
402767	-40.39
403067	-40.38
403367	-40.39
403667	-40.38
403967	-40.38
404267	-40.38
404567	-40.38
404867	-40.38
405167	-40.39
405467	-40.39
405767	-40.38
406067	-40.38
406367	-40.39
406667	-40.38
406967	-40.38
407267	-40.39
407567	-40.38
407867	-40.38
408167	-40.39
408467	-40.39
408767	-40.38
409067	-40.38
409367	-40.38
409667	-40.38
409967	-40.39
410267	-40.39
410567	-40.38
410867	-40.38
411086	-40.38
411167	-40.38
411332	-40.38
411467	-40.39
411580	-40.39
411676	-40.38
411707	-40.38
411708	40.39
411731	40.38
411788	40.38
411879	40.39
412002	40.38
412007	40.38
412166	40.38
412307	40.38
412546	40.38
412607	40.38
412907	40.39
413207	40.39
413507	40.39
413807	40.39
414107	40.38
414407	40.38
414707	40.38
415007	40.39
415307	40.38
415607	40.38
415907	40.38
416207	40.39
416507	40.38
416807	40.39
417107	40.38
417407	40.38
417707	40.38
418007	40.38
418307	40.38
418607	40.39
418907	40.38
419207	40.38
419507	40.39
419807	40.38
420107	40.38
420407	40.38
420707	40.39
421007	40.38
421307	40.38
421607	40.38
421907	40.38
422207	40.38
422507	40.39
422807	40.38
423107	40.38
423407	40.39
423707	40.38
424007	40.38
424307	40.39
424607	40.38
424907	40.38
425207	40.38
425507	40.38
425807	40.39
426107	40.38
426407	40.38
426707	40.38
427007	40.38
427307	40.38
427607	40.38
427907	40.38
428207	40.38
428507	40.38
428807	40.39
429107	40.38
429407	40.38
429707	40.39
430007	40.39
430307	40.38
430607	40.38
430907	37.1
431207	16.48
431416	10
431417	-40.38
431716	-40.38
432016	-40.38
432316	-40.38
432616	-40.39
432916	-40.38
433216	-40.38
433516	-40.38
433816	-40.38
434116	-40.38
434416	-40.38
434716	-40.38
435016	-40.38
435316	-40.38
435616	-40.38
435916	-40.38
436216	-40.38
436516	-40.38
436816	-40.38
437116	-40.38
437416	-40.39
437716	-40.39
438016	-40.38
438316	-40.39
438616	-40.38
438916	-40.38
439216	-40.38
439516	-40.38
439816	-40.38
440116	-40.38
440416	-40.38
440716	-40.38
441016	-40.38
441316	-40.38
441616	-40.38
441916	-40.38
442216	-40.39
442516	-40.39
442816	-40.38
443116	-40.38
443416	-40.39
443716	-40.38
444016	-40.38
444316	-40.38
444616	-40.38
444916	-40.38
445216	-40.38
445516	-40.39
445816	-40.39
446116	-40.38
446416	-40.38
446716	-40.38
447016	-40.38
447316	-40.38
447616	-40.39
447916	-40.38
448216	-40.38
448516	-40.38
448816	-40.38
449116	-40.38
449416	-40.38
449716	-40.39
450016	-40.39
450231	-40.38
450316	-40.38
450477	-40.39
450611	-40.38
450616	-40.38
450727	-40.39
450820	-40.38
450837	-40.38
450838	40.39
450864	40.38
450922	40.39
451014	40.38
451137	40.38
451294	40.39
451437	40.38
451673	40.39
451737	40.39
452037	40.38
452337	40.39
452637	40.38
452937	40.38
453237	40.38
453537	40.38
453837	40.38
454137	40.38
454437	40.39
454737	40.38
455037	40.39
455337	40.38
455637	40.38
455937	40.38
456237	40.38
456537	40.39
456837	40.38
457137	40.38
457437	40.38
457737	40.38
458037	40.39
458337	40.39
458637	40.38
458937	40.38
459237	40.38
459537	40.38
459837	40.39
460137	40.38
460437	40.38
460737	40.38
461037	40.38
461337	40.39
461637	40.39
461937	40.38
462237	40.38
462537	40.38
462837	40.39
463137	40.38
463437	40.39
463737	40.38
464037	40.38
464337	40.38
464637	40.39
464937	40.39
465237	40.38
465537	40.38
465837	40.38
466137	40.38
466437	40.38
466737	40.38
467037	40.38
467337	40.38
467637	40.39
467937	40.38
468237	40.39
468537	40.38
468837	40.38
469137	40.38
469437	40.39
469737	40.39
470037	34.72
470337	15.54
470518	10.05
470519	-40.38
470818	-40.38
471118	-40.38
471418	-40.39
471718	-40.39
472018	-40.39
472318	-40.39
472618	-40.38
472918	-40.38
473218	-40.39
473518	-40.39
473818	-40.38
474118	-40.39
474418	-40.38
474718	-40.38
475018	-40.39
475318	-40.38
475618	-40.38
475918	-40.38
476218	-40.39
476518	-40.39
476818	-40.38
477118	-40.39
477418	-40.38
477718	-40.39
478018	-40.39
478318	-40.39
478618	-40.39
478918	-40.38
479218	-40.38
479518	-40.39
479818	-40.39
480118	-40.38
480418	-40.39
480718	-40.38
481018	-40.38
481318	-40.39
481618	-40.39
481918	-40.39
482218	-40.39
482518	-40.38
482818	-40.39
483118	-40.39
483418	-40.39
483718	-40.39
484018	-40.38
484318	-40.38
484618	-40.39
484918	-40.38
485218	-40.38
485518	-40.38
485818	-40.39
486118	-40.38
486418	-40.39
486718	-40.38
487018	-40.38
487318	-40.39
487618	-40.38
487918	-40.39
488218	-40.38
488518	-40.39
488818	-40.38
489109	-40.38
489118	-40.38
489327	-40.38
489418	-40.39
489576	-40.39
489706	-40.38
489718	-40.38
489825	-40.38
489915	-40.38
489918	-40.39
489919	40.39
489945	40.38
490002	40.39
490094	40.38
490217	40.39
490218	40.39
490373	40.38
490518	40.38
490753	40.38
490818	40.38
491118	40.39
491418	40.38
491718	40.38
492018	40.38
492318	40.38
492618	40.38
492918	40.38
493218	40.38
493518	40.39
493818	40.38
494118	40.38
